hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_guests,total_nights,family,arrival_month_num,season,is_family,has_weekend_stay,has_weekday_stay,estimated_revenue,booking_size,stay_category,lead_time_category
Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,C,C,3.0,No Deposit,0.0,,0.0,Transient,0.0,0.0,0.0,Check-Out,2015-07-01,2.0,0,0.0,7.0,Summer,0,0,0,0.0,Couple,Short Stay,Long Lead Time
Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,C,C,4.0,No Deposit,0.0,,0.0,Transient,0.0,0.0,0.0,Check-Out,2015-07-01,2.0,0,0.0,7.0,Summer,0,0,0,0.0,Couple,Short Stay,Long Lead Time
Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0.0,0.0,0.0,A,C,0.0,No Deposit,0.0,,0.0,Transient,75.0,0.0,0.0,Check-Out,2015-07-02,1.0,1,0.0,7.0,Summer,0,0,1,75.0,Single,Short Stay,Last Minute
Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0.0,0.0,0.0,A,A,0.0,No Deposit,304.0,,0.0,Transient,75.0,0.0,0.0,Check-Out,2015-07-02,1.0,1,0.0,7.0,Summer,0,0,1,75.0,Single,Short Stay,Short Lead Time
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,98.0,0.0,1.0,Check-Out,2015-07-03,2.0,2,0.0,7.0,Summer,0,0,1,196.0,Couple,Short Stay,Short Lead Time
Resort Hotel,0,0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,C,C,0.0,No Deposit,0.0,,0.0,Transient,107.0,0.0,0.0,Check-Out,2015-07-03,2.0,2,0.0,7.0,Summer,0,0,1,214.0,Couple,Short Stay,Last Minute
Resort Hotel,0,9,2015,July,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0.0,0.0,0.0,C,C,0.0,No Deposit,303.0,,0.0,Transient,103.0,0.0,1.0,Check-Out,2015-07-03,2.0,2,0.0,7.0,Summer,0,0,1,206.0,Couple,Short Stay,Short Lead Time
Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,82.0,0.0,1.0,Canceled,2015-05-06,2.0,3,0.0,7.0,Summer,0,0,1,246.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,15.0,,0.0,Transient,105.5,0.0,0.0,Canceled,2015-04-22,2.0,3,0.0,7.0,Summer,0,0,1,316.5,Couple,Medium Stay,Medium Lead Time
Resort Hotel,1,23,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,240.0,,0.0,Transient,123.0,0.0,0.0,Canceled,2015-06-23,2.0,4,0.0,7.0,Summer,0,0,1,492.0,Couple,Medium Stay,Short Lead Time
Resort Hotel,0,35,2015,July,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,240.0,,0.0,Transient,145.0,0.0,0.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,580.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0.0,0.0,0.0,D,E,0.0,No Deposit,240.0,,0.0,Transient,97.0,0.0,3.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,388.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0.0,0.0,0.0,G,G,1.0,No Deposit,241.0,,0.0,Transient,154.77,0.0,1.0,Check-Out,2015-07-05,3.0,4,1.0,7.0,Summer,1,0,1,619.08,Small Group,Medium Stay,Short Lead Time
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,241.0,,0.0,Transient,94.71,0.0,0.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,378.84,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,D,E,0.0,No Deposit,240.0,,0.0,Transient,97.0,0.0,3.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,388.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,8.0,,0.0,Contract,97.5,0.0,0.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,390.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,A,E,0.0,No Deposit,240.0,,0.0,Transient,88.2,0.0,0.0,Check-Out,2015-07-02,2.0,1,0.0,7.0,Summer,0,0,1,88.2,Couple,Short Stay,Short Lead Time
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0.0,0.0,0.0,A,G,0.0,No Deposit,0.0,110.0,0.0,Transient,107.42,0.0,0.0,Check-Out,2015-07-02,2.0,1,0.0,7.0,Summer,0,0,1,107.42,Couple,Short Stay,Last Minute
Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0.0,0.0,0.0,G,G,0.0,No Deposit,250.0,,0.0,Transient,153.0,0.0,1.0,Check-Out,2015-07-05,2.0,4,0.0,7.0,Summer,0,0,1,612.0,Couple,Medium Stay,Last Minute
Resort Hotel,0,37,2015,July,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,F,F,0.0,No Deposit,241.0,,0.0,Transient,97.29,0.0,1.0,Check-Out,2015-07-06,1.0,5,0.0,7.0,Summer,0,1,1,486.45000000000005,Single,Medium Stay,Medium Lead Time
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,A,1.0,No Deposit,250.0,,0.0,Transient,84.67,0.0,1.0,Check-Out,2015-07-07,2.0,6,0.0,7.0,Summer,0,1,1,508.02,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,D,D,1.0,No Deposit,250.0,,0.0,Transient,99.67,0.0,1.0,Check-Out,2015-07-07,2.0,6,0.0,7.0,Summer,0,1,1,598.02,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,127,2015,July,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,I,0.0,No Deposit,115.0,,0.0,Contract,94.95,0.0,1.0,Check-Out,2015-07-01,2.0,7,0.0,7.0,Summer,0,1,1,664.65,Couple,Long Stay,Long Lead Time
Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,5.0,,0.0,Transient,63.6,1.0,0.0,Check-Out,2015-07-08,2.0,7,0.0,7.0,Summer,0,1,1,445.2,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,8.0,,0.0,Contract,79.5,0.0,0.0,Check-Out,2015-07-08,2.0,7,0.0,7.0,Summer,0,1,1,556.5,Couple,Long Stay,Medium Lead Time
Resort Hotel,1,60,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,240.0,,0.0,Transient,107.0,0.0,2.0,Canceled,2015-05-11,2.0,7,0.0,7.0,Summer,0,1,1,749.0,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,94.0,0.0,0.0,Check-Out,2015-07-08,2.0,7,0.0,7.0,Summer,0,1,1,658.0,Couple,Long Stay,Medium Lead Time
