Feature,Importance
num__lead_time,0.10491217340746015
num__arrival_date_year,0.08414017152853527
num__adr,0.0750300934869856
num__total_of_special_requests,0.04888798324474509
num__arrival_date_day_of_month,0.048736503716299985
num__arrival_date_week_number,0.04441800436483416
cat__country_PRT,0.04268108993783452
num__total_nights,0.0343260928803386
num__stays_in_week_nights,0.031254230959782504
num__required_car_parking_spaces,0.031119873358786458
cat__market_segment_Online TA,0.027642015394477255
cat__hotel_Resort Hotel,0.021380806341847185
num__stays_in_weekend_nights,0.02086640363117479
cat__hotel_City Hotel,0.01887999551504482
num__arrival_month_num,0.01792824196446699
num__booking_changes,0.015571421399791478
cat__customer_type_Transient,0.015308465642328786
num__previous_cancellations,0.014118662295725497
cat__market_segment_Offline TA/TO,0.013892982146462493
num__total_guests,0.012654247405935497
cat__assigned_room_type_A,0.011739931432267717
cat__customer_type_Transient-Party,0.010385803913630203
cat__distribution_channel_TA/TO,0.01020469386043268
num__adults,0.009959913014227419
cat__country_GBR,0.008983123518128952
cat__reserved_room_type_A,0.008361275728656982
cat__deposit_type_No Deposit,0.008295753260620129
cat__deposit_type_Non Refund,0.00745465844809332
cat__meal_BB,0.007346715396403361
cat__assigned_room_type_D,0.007115896847916295
cat__meal_SC,0.006068919728191169
cat__country_ESP,0.005845642873970976
cat__country_FRA,0.005817493473766028
cat__reserved_room_type_D,0.005610528771023504
num__previous_bookings_not_canceled,0.005423438353629315
cat__distribution_channel_Direct,0.005253378652277131
cat__season_Autumn,0.005031196904415485
num__children,0.004777534875561113
cat__market_segment_Direct,0.004682498703322902
cat__meal_HB,0.004609077350619997
cat__country_DEU,0.004562054571134078
num__is_repeated_guest,0.004244956987732966
cat__season_Summer,0.004193337764172649
cat__assigned_room_type_E,0.003801266212630901
num__family,0.0037836001364881864
cat__arrival_date_month_July,0.00372844331310271
cat__season_Spring,0.003716274060097069
cat__season_Winter,0.0036641170086731665
cat__arrival_date_month_August,0.0036024765165384317
cat__country_IRL,0.0035298901057185324
cat__reserved_room_type_E,0.003240759401792648
cat__country_ITA,0.0031515264351925864
cat__arrival_date_month_September,0.0031015456549054227
cat__arrival_date_month_October,0.002954721583822024
cat__arrival_date_month_May,0.002897624654288115
cat__arrival_date_month_June,0.002895956935857625
cat__customer_type_Contract,0.0028872544591524263
cat__arrival_date_month_April,0.0028502762341845833
cat__arrival_date_month_December,0.002769166222126453
cat__market_segment_Groups,0.002743429211364815
cat__arrival_date_month_March,0.002564588012001745
cat__market_segment_Corporate,0.0024311404596813165
cat__assigned_room_type_F,0.002409198436968148
cat__country_BRA,0.002404816400264596
cat__distribution_channel_Corporate,0.0023067813055028127
